"day","year","mo","da","collision_date","temp","dewp","slp","visib","wdsp","mxpsd","gust","max","min","prcp","fog","NUM_COLLISIONS"
7,2018,9,23,"2018-09-23",59.8,50.2,1023.4,10,3,5.1,0,78.1,53.1,0,0,-0.876381359132417
4,2018,12,20,"2018-12-20",38.6,34.4,1020.2,9.6,5,7,0,48,21,0,0,2.0194553238633
2,2013,11,5,"2013-11-05",43.5,30.4,1037.8,10,3.9,7,0,50,37.9,0,0,-0.570175063347371
3,2012,7,11,"2012-07-11",77.1,62,1019.9,10,1.9,7,0,84,64.9,0,0,-0.0889937413994421
4,2012,7,12,"2012-07-12",77.4,60.2,1021.7,10,2.3,7,0,88,57,0,0,0.0159912742982878
4,2012,8,9,"2012-08-09",78.2,69.6,1013.6,9.3,2.3,7,15,88,61,0,0,0.0509862795308645
1,2012,9,17,"2012-09-17",66.5,48,1018.3,10,2.2,7,0,77,48.2,0,0,-1.07760263921973
4,2020,9,10,"2020-09-10",70.8,69.5,1025.1,0.8,4.4,7,0,77,66.9,0,1,-1.99622152657487
2,2017,9,26,"2017-09-26",65.9,65.3,1016.8,2.6,3.4,7,0,77,59,0.12,1,0.707142627641677
1,2014,11,10,"2014-11-10",48.2,42.2,1019.2,9.6,4,7,0,59,39,0,0,-0.132737497940163
1,2016,7,11,"2016-07-11",63.1,58.4,1016.8,9.9,4.9,7,0,70,55,0.01,0,0.374690077932199
1,2019,7,8,"2019-07-08",64.9,56.7,1014.7,10,4.2,7,0,75,54,0,0,0.14722254392045
5,2014,7,18,"2014-07-18",69.6,59.4,1020.7,9.6,5,7,0,79,63,0.04,0,0.427182585781063
4,2016,9,22,"2016-09-22",67.2,57.8,1020.9,10,3.7,7,0,79,57.9,0,0,0.742137632874253
5,2012,7,13,"2012-07-13",78.9,60.7,1021.8,9.9,3,7,0,87.1,63,0,0,0.243458808310036
5,2012,8,24,"2012-08-24",77.3,60.9,1020.7,9.3,2,7,0,87.1,66,0,0,0.225961305693748
5,2012,10,26,"2012-10-26",60.8,53.4,1022.6,10,1.5,7,0,64.9,39.2,0,0,0.199715051769315
5,2019,3,1,"2019-03-01",26.7,18.2,1026.9,10,4,7,0,35.1,16,0,0,1.18832394958961
5,2020,1,24,"2020-01-24",37.3,33.7,1028.5,6.5,3.3,8,0,46,19.9,0,1,-0.447692545033353
2,2014,12,16,"2014-12-16",44,37,1019.7,9.6,4.2,8,0,48,33.1,0,0,0.610906363252091
3,2015,11,25,"2015-11-25",39.6,26.8,1038.6,10,4.3,8,0,50,28.9,0,0,1.24081645743847
6,2020,10,3,"2020-10-03",61.4,47.8,1021.2,10,4.9,8,0,68,50,0,0,-2.20619155797033
2,2020,9,29,"2020-09-29",67.5,65.8,9999.9,6.1,5.5,8,0,68,66,0,1,-2.25868406581919
3,2020,10,21,"2020-10-21",64.9,63.1,1025,4.7,5.2,8,0,68,63,0.03,1,-2.07496028834817
6,2014,6,28,"2014-06-28",62.2,51.9,1024.1,9.5,4.8,8,0,72,52,0.02,0,0.313448818775189
6,2013,10,5,"2013-10-05",61.3,57.7,1018,9.6,4.2,8,0,72,54,0.13,0,-0.683908830353245
7,2015,9,6,"2015-09-06",66.6,55.9,1023.5,10,4.7,8,0,72,50,0,0,-0.622667571196236
1,2014,8,25,"2014-08-25",63.3,56.5,1020.5,10,3.8,8,0,72,54,0,0,-0.228973762329749
7,2018,7,15,"2018-07-15",65.5,61.6,1016.5,8.6,5.3,8,0,72,55.9,0,1,-0.0977424927075863
6,2012,7,28,"2012-07-28",75.5,69.6,1012.2,7,3.9,8,15.9,84,68,0,1,-0.543928809422939
1,2017,9,25,"2017-09-25",64.2,63.7,1017.8,2.8,4.2,8,0,73,59,0,1,1.31955521921177
7,2014,6,8,"2014-06-08",64.9,55.5,1013.2,9.8,4.8,8,0,77,55.9,0,0,-0.517682555498506
5,2017,8,11,"2017-08-11",67.6,65.8,1021.4,9.3,5.8,8,0,77,60.1,0,1,0.698393876333533
